IDENTIFICADOR;SKU;Lojas Guaporé;Player 1;Price 1;Player 2;Price 2
7899525672006    ;MART-7200;;;;;
7899525669877    ;MART-6987;;;;;
7899525671993    ;MART-7199;;;;;
7899525669921    ;MART-6992;;;;;
7899525663127    ;MART-6312;;;;;
7899525664582    ;MART-6458;;;;;
7899525666036    ;MART-6603;;;;;
7899525664483    ;MART-6448;;;;;
7898292020409    ;147200001    ;;;;;
7898292020492    ;147200040    ;;;;;
7898419460873    ;147400083    ;;;;;
7898292026593    ;147400052    ;;;;;
7898419469616    ;148170005    ;;;;;
7898292024803    ;140140026    ;;;;;
7898292024858    ;140140031    ;;;;;
7898292024926    ;140140038    ;;;;;
7898292024933    ;140140039    ;;;;;
7898292025176    ;149260077    ;;;;;
7898292025213    ;140340007    ;;;;;
7898292021581    ;149260103    ;;;;;
7898292021550    ;149260100    ;;;;;
7898292026708    ;149400011    ;;;;;
7898419470841    ;100400003    ;;;;;
7898292025800    ;100310036    ;;;;;
7898292025817    ;100310037    ;;;;;
7898292029631    ;149410027    ;;;;;
7898292025602    ;147190082    ;;;;;
7898292025626    ;147190084    ;;;;;
7892162064944    ;6494    ;;;;;
8433290460490    ;A32752R000;;;;;
7891333112880    ;A327A13860;;;;;
7898292025862    ;149260053    ;;;;;
7899182781417    ;4-86-303;;;;;
7899182781479    ;4-86-309;;;;;
76174155563    ;15-556;;;;;
7898626953076    ;VS803BRA10;;;;;
7898626953090    ;VS1000BRA10;;;;;
7898626952604    ;RP606BRA10;;;;;
7897451412765    ;Cortag-61276;;;;;
7893809110383    ;Jacuzzi-99859159;;;;;
7893809110390    ;Jacuzzi-99859167;;;;;
7893809099183    ;Jacuzzi-99844706;;;;;
7893809077198    ;Jacuzzi-99843120;;;;;
7893809088798    ;Jacuzzi-99811408;;;;;
7893809100476    ;Jacuzzi-99604837;;;;;
7893809087593    ;Jacuzzi-99850729;;;;;
7900000192275    ;Jacuzzi-99812265;;;;;
7900000193869    ;Jacuzzi-99604704;;;;;
7893809102074    ;Jacuzzi-97100150;;;;;
7893809101725    ;Jacuzzi-97500110;;;;;
7893809107482    ;Jacuzzi-99605628;;;;;
7893809107840    ;Jacuzzi-99606063;;;;;
7897826104103    ;Gart-113002-002;;;;;
7897826104110    ;Gart-113002-003;;;;;
7897826104202    ;Gart-113003-001;;;;;
7892162019951    ;1995    ;;;;;
7897752804214    ;AT22E27PDBC;;;;;
7900000172086    ;7951230    ;;;;;
7898425487130    ;7951328    ;;;;;
7891461263256    ;888306    ;;;;;
7891461261931    ;884906    ;;;;;
7891461286736    ;641872    ;;;;;
7891461283506    ;636070    ;;;;;
7891461261832    ;886206    ;;;;;
7891461274078    ;847369    ;;;;;
7891461274108    ;847670    ;;;;;
7891461286798    ;847672    ;;;;;
7891461286491    ;589272    ;;;;;
7891461197834    ;768906    ;;;;;
7891461197865    ;769206    ;;;;;
7891461261863    ;886606    ;;;;;
7891461275143    ;849870    ;;;;;
7891461275136    ;849869    ;;;;;
7891461275150    ;849969    ;;;;;
7891461271558    ;449569    ;;;;;
